index,SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes,Geo,Region,Salesperson,Team,Location,Product,Category,Size,Cost_per_box,Profit,Month
769,SP23,G4,P16,2021-03-17,4312,79,188,New Zealand,APAC,Van Tuxwell,Yummies,Seattle,Organic Choco Syrup,Other,SMALL,1.47,4035.64,2021-03
770,SP18,G2,P16,2021-03-17,6258,49,224,USA,Americas,Madelene Upcott,Jucies,Wellington,Organic Choco Syrup,Other,SMALL,1.47,5928.72,2021-03
771,SP05,G2,P22,2021-03-17,7931,257,418,USA,Americas,Gigi Bohling,Delish,Hyderabad,Peanut Butter Cubes,Bites,SMALL,3.57,6438.74,2021-03
772,SP19,G3,P22,2021-03-17,2576,67,129,Canada,Americas,Beverie Moffet,Jucies,Seattle,Peanut Butter Cubes,Bites,SMALL,3.57,2115.4700000000003,2021-03
773,SP03,G1,P17,2021-03-17,623,224,22,India,APAC,Gunar Cockshoot,Yummies,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,611.12,2021-03
774,SP20,G6,P17,2021-03-17,7567,254,292,UK,Europe,Oby Sorrel,Jucies,Seattle,Caramel Stuffed Bars,Bars,SMALL,0.54,7409.32,2021-03
775,SP13,G1,P22,2021-03-18,6363,179,266,India,APAC,Jan Morforth,Delish,Wellington,Peanut Butter Cubes,Bites,SMALL,3.57,5413.38,2021-03
776,SP02,G3,P22,2021-03-18,1645,97,75,Canada,Americas,Dennison Crosswaite,Yummies,Hyderabad,Peanut Butter Cubes,Bites,SMALL,3.57,1377.25,2021-03
777,SP25,G3,P19,2021-03-18,12740,72,980,Canada,Americas,Camilla Castle,Delish,Seattle,70% Dark Bites,Bites,SMALL,4.97,7869.400000000001,2021-03
778,SP12,G3,P20,2021-03-18,6755,504,483,Canada,Americas,Karlen McCaffrey,Yummies,Wellington,Smooth Sliky Salty,Bars,SMALL,2.97,5320.49,2021-03
779,SP15,G1,P12,2021-03-18,13321,119,833,India,APAC,Kelci Walkden,Yummies,Wellington,Fruit & Nut Bars,Bars,LARGE,1.58,12004.86,2021-03
780,SP09,G5,P21,2021-03-18,1078,41,57,Australia,APAC,Andria Kimpton,Jucies,Hyderabad,Choco Coated Almonds,Bites,SMALL,6.17,726.31,2021-03
781,SP14,G3,P08,2021-03-18,13104,77,624,Canada,Americas,Dotty Strutley,Delish,Wellington,99% Dark & Pure,Bars,LARGE,2.47,11562.72,2021-03
782,SP07,G3,P18,2021-03-18,10241,74,366,Canada,Americas,Kaine Padly,Delish,Hyderabad,Manuka Honey Choco,Other,SMALL,4.75,8502.5,2021-03
783,SP19,G6,P13,2021-03-19,1904,316,112,UK,Europe,Beverie Moffet,Jucies,Seattle,85% Dark Bars,Bars,SMALL,0.64,1832.32,2021-03
784,SP15,G3,P20,2021-03-19,4116,89,217,Canada,Americas,Kelci Walkden,Yummies,Wellington,Smooth Sliky Salty,Bars,SMALL,2.97,3471.51,2021-03
785,SP09,G3,P10,2021-03-19,1302,24,55,Canada,Americas,Andria Kimpton,Jucies,Hyderabad,Spicy Special Slims,Bites,LARGE,5.79,983.55,2021-03
786,SP03,G3,P10,2021-03-19,4606,186,210,Canada,Americas,Gunar Cockshoot,Yummies,Hyderabad,Spicy Special Slims,Bites,LARGE,5.79,3390.1,2021-03
787,SP25,G1,P06,2021-03-19,8526,153,569,India,APAC,Camilla Castle,Delish,Seattle,Eclairs,Bites,LARGE,2.24,7251.44,2021-03
788,SP19,G3,P17,2021-03-22,13832,187,577,Canada,Americas,Beverie Moffet,Jucies,Seattle,Caramel Stuffed Bars,Bars,SMALL,0.54,13520.42,2021-03
789,SP03,G6,P17,2021-03-22,10962,24,392,UK,Europe,Gunar Cockshoot,Yummies,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,10750.32,2021-03
790,SP04,G1,P05,2021-03-22,5383,212,317,India,APAC,Wilone O'Kielt,Delish,Hyderabad,Mint Chip Choco,Bars,LARGE,1.54,4894.82,2021-03
791,SP25,G5,P15,2021-03-22,2856,138,179,Australia,APAC,Camilla Castle,Delish,Seattle,Baker's Choco Chips,Bars,SMALL,3.4,2247.4,2021-03
792,SP19,G2,P16,2021-03-22,2954,143,96,USA,Americas,Beverie Moffet,Jucies,Seattle,Organic Choco Syrup,Other,SMALL,1.47,2812.88,2021-03
793,SP05,G2,P10,2021-03-22,14385,230,600,USA,Americas,Gigi Bohling,Delish,Hyderabad,Spicy Special Slims,Bites,LARGE,5.79,10911.0,2021-03
794,SP10,G6,P06,2021-03-22,10346,88,647,UK,Europe,Brien Boise,Jucies,Wellington,Eclairs,Bites,LARGE,2.24,8896.72,2021-03
795,SP24,G1,P20,2021-03-22,1568,199,83,India,APAC,Roddy Speechley,Delish,Seattle,Smooth Sliky Salty,Bars,SMALL,2.97,1321.49,2021-03
796,SP11,G6,P16,2021-03-22,3682,152,148,UK,Europe,Husein Augar,Yummies,Wellington,Organic Choco Syrup,Other,SMALL,1.47,3464.44,2021-03
797,SP02,G1,P11,2021-03-22,5544,162,185,India,APAC,Dennison Crosswaite,Yummies,Hyderabad,After Nines,Bites,LARGE,4.43,4724.45,2021-03
798,SP02,G2,P11,2021-03-22,252,48,10,USA,Americas,Dennison Crosswaite,Yummies,Hyderabad,After Nines,Bites,LARGE,4.43,207.7,2021-03
799,SP06,G3,P08,2021-03-22,6230,68,271,Canada,Americas,Curtice Advani,Delish,Hyderabad,99% Dark & Pure,Bars,LARGE,2.47,5560.63,2021-03
800,SP15,G4,P11,2021-03-23,3724,37,129,New Zealand,APAC,Kelci Walkden,Yummies,Wellington,After Nines,Bites,LARGE,4.43,3152.53,2021-03
801,SP02,G4,P12,2021-03-23,5544,59,427,New Zealand,APAC,Dennison Crosswaite,Yummies,Hyderabad,Fruit & Nut Bars,Bars,LARGE,1.58,4869.34,2021-03
802,SP01,G6,P04,2021-03-23,8624,54,392,UK,Europe,Barr Faughny,Yummies,Hyderabad,Raspberry Choco,Bars,LARGE,4.09,7020.72,2021-03
803,SP17,G1,P02,2021-03-23,4627,135,515,India,APAC,Rafaelita Blaksland,,Wellington,50% Dark Bites,Bites,LARGE,2.57,3303.45,2021-03
804,SP01,G5,P12,2021-03-23,13237,374,1019,Australia,APAC,Barr Faughny,Yummies,Hyderabad,Fruit & Nut Bars,Bars,LARGE,1.58,11626.98,2021-03
805,SP08,G3,P05,2021-03-23,3143,298,158,Canada,Americas,Ches Bonnell,,Hyderabad,Mint Chip Choco,Bars,LARGE,1.54,2899.68,2021-03
806,SP22,G3,P16,2021-03-23,8631,83,376,Canada,Americas,Jehu Rudeforth,,Seattle,Organic Choco Syrup,Other,SMALL,1.47,8078.28,2021-03
807,SP06,G3,P21,2021-03-23,4886,343,288,Canada,Americas,Curtice Advani,Delish,Hyderabad,Choco Coated Almonds,Bites,SMALL,6.17,3109.04,2021-03
808,SP18,G4,P03,2021-03-23,5012,71,295,New Zealand,APAC,Madelene Upcott,Jucies,Wellington,Almond Choco,Bars,LARGE,9.6,2180.0,2021-03
809,SP20,G2,P05,2021-03-23,7847,353,462,USA,Americas,Oby Sorrel,Jucies,Seattle,Mint Chip Choco,Bars,LARGE,1.54,7135.52,2021-03
810,SP01,G3,P02,2021-03-24,2709,203,301,Canada,Americas,Barr Faughny,Yummies,Hyderabad,50% Dark Bites,Bites,LARGE,2.57,1935.43,2021-03
811,SP20,G6,P01,2021-03-24,8918,295,372,UK,Europe,Oby Sorrel,Jucies,Seattle,Milk Bars,Bars,LARGE,1.52,8352.56,2021-03
812,SP02,G6,P17,2021-03-24,11942,436,543,UK,Europe,Dennison Crosswaite,Yummies,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,11648.78,2021-03
813,SP08,G6,P19,2021-03-24,19173,42,1279,UK,Europe,Ches Bonnell,,Hyderabad,70% Dark Bites,Bites,SMALL,4.97,12816.369999999999,2021-03
814,SP16,G1,P17,2021-03-24,2590,209,87,India,APAC,Marney O'Breen,Jucies,Wellington,Caramel Stuffed Bars,Bars,SMALL,0.54,2543.02,2021-03
815,SP16,G4,P04,2021-03-24,2555,73,160,New Zealand,APAC,Marney O'Breen,Jucies,Wellington,Raspberry Choco,Bars,LARGE,4.09,1900.6,2021-03
816,SP10,G5,P05,2021-03-24,861,80,46,Australia,APAC,Brien Boise,Jucies,Wellington,Mint Chip Choco,Bars,LARGE,1.54,790.16,2021-03
817,SP07,G5,P17,2021-03-24,11956,282,544,Australia,APAC,Kaine Padly,Delish,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,11662.24,2021-03
818,SP07,G4,P19,2021-03-24,8589,226,661,New Zealand,APAC,Kaine Padly,Delish,Hyderabad,70% Dark Bites,Bites,SMALL,4.97,5303.83,2021-03
819,SP05,G6,P22,2021-03-24,6496,196,361,UK,Europe,Gigi Bohling,Delish,Hyderabad,Peanut Butter Cubes,Bites,SMALL,3.57,5207.23,2021-03
820,SP20,G3,P01,2021-03-24,5299,203,204,Canada,Americas,Oby Sorrel,Jucies,Seattle,Milk Bars,Bars,LARGE,1.52,4988.92,2021-03
821,SP13,G6,P21,2021-03-24,4858,174,324,UK,Europe,Jan Morforth,Delish,Wellington,Choco Coated Almonds,Bites,SMALL,6.17,2858.92,2021-03
822,SP15,G4,P08,2021-03-24,357,204,19,New Zealand,APAC,Kelci Walkden,Yummies,Wellington,99% Dark & Pure,Bars,LARGE,2.47,310.07,2021-03
823,SP08,G1,P02,2021-03-24,5264,182,405,India,APAC,Ches Bonnell,,Hyderabad,50% Dark Bites,Bites,LARGE,2.57,4223.15,2021-03
824,SP09,G5,P10,2021-03-24,7896,83,304,Australia,APAC,Andria Kimpton,Jucies,Hyderabad,Spicy Special Slims,Bites,LARGE,5.79,6135.84,2021-03
825,SP05,G2,P15,2021-03-24,9548,173,796,USA,Americas,Gigi Bohling,Delish,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,6841.6,2021-03
826,SP08,G5,P04,2021-03-24,3024,240,178,Australia,APAC,Ches Bonnell,,Hyderabad,Raspberry Choco,Bars,LARGE,4.09,2295.98,2021-03
827,SP17,G4,P01,2021-03-24,12257,365,409,New Zealand,APAC,Rafaelita Blaksland,,Wellington,Milk Bars,Bars,LARGE,1.52,11635.32,2021-03
828,SP05,G3,P01,2021-03-24,5327,2,184,Canada,Americas,Gigi Bohling,Delish,Hyderabad,Milk Bars,Bars,LARGE,1.52,5047.32,2021-03
829,SP18,G6,P11,2021-03-24,784,208,33,UK,Europe,Madelene Upcott,Jucies,Wellington,After Nines,Bites,LARGE,4.43,637.81,2021-03
830,SP08,G6,P13,2021-03-25,5824,248,278,UK,Europe,Ches Bonnell,,Hyderabad,85% Dark Bars,Bars,SMALL,0.64,5646.08,2021-03
831,SP25,G4,P22,2021-03-25,11354,119,494,New Zealand,APAC,Camilla Castle,Delish,Seattle,Peanut Butter Cubes,Bites,SMALL,3.57,9590.42,2021-03
832,SP11,G3,P15,2021-03-25,7245,185,725,Canada,Americas,Husein Augar,Yummies,Wellington,Baker's Choco Chips,Bars,SMALL,3.4,4780.0,2021-03
833,SP16,G4,P12,2021-03-25,2870,480,160,New Zealand,APAC,Marney O'Breen,Jucies,Wellington,Fruit & Nut Bars,Bars,LARGE,1.58,2617.2,2021-03
834,SP25,G4,P09,2021-03-25,721,191,91,New Zealand,APAC,Camilla Castle,Delish,Seattle,Orange Choco,Bars,LARGE,7.14,71.25999999999999,2021-03
835,SP04,G2,P01,2021-03-25,1274,197,42,USA,Americas,Wilone O'Kielt,Delish,Hyderabad,Milk Bars,Bars,LARGE,1.52,1210.16,2021-03
836,SP15,G6,P03,2021-03-25,12187,266,717,UK,Europe,Kelci Walkden,Yummies,Wellington,Almond Choco,Bars,LARGE,9.6,5303.8,2021-03
837,SP19,G4,P05,2021-03-25,17969,77,899,New Zealand,APAC,Beverie Moffet,Jucies,Seattle,Mint Chip Choco,Bars,LARGE,1.54,16584.54,2021-03
838,SP19,G5,P17,2021-03-25,2471,174,103,Australia,APAC,Beverie Moffet,Jucies,Seattle,Caramel Stuffed Bars,Bars,SMALL,0.54,2415.38,2021-03
839,SP13,G6,P13,2021-03-25,2296,52,100,UK,Europe,Jan Morforth,Delish,Wellington,85% Dark Bars,Bars,SMALL,0.64,2232.0,2021-03
840,SP21,G4,P03,2021-03-25,10801,35,636,New Zealand,APAC,Mallorie Waber,,Seattle,Almond Choco,Bars,LARGE,9.6,4695.400000000001,2021-03
841,SP01,G5,P07,2021-03-25,3031,49,117,Australia,APAC,Barr Faughny,Yummies,Hyderabad,Drinking Coco,Other,LARGE,1.62,2841.46,2021-03
842,SP01,G2,P12,2021-03-25,112,252,11,USA,Americas,Barr Faughny,Yummies,Hyderabad,Fruit & Nut Bars,Bars,LARGE,1.58,94.62,2021-03
843,SP03,G5,P17,2021-03-25,329,130,14,Australia,APAC,Gunar Cockshoot,Yummies,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,321.44,2021-03
844,SP03,G4,P12,2021-03-25,9590,154,600,New Zealand,APAC,Gunar Cockshoot,Yummies,Hyderabad,Fruit & Nut Bars,Bars,LARGE,1.58,8642.0,2021-03
845,SP09,G3,P07,2021-03-25,3220,209,115,Canada,Americas,Andria Kimpton,Jucies,Hyderabad,Drinking Coco,Other,LARGE,1.62,3033.7,2021-03
846,SP04,G1,P11,2021-03-25,9660,106,358,India,APAC,Wilone O'Kielt,Delish,Hyderabad,After Nines,Bites,LARGE,4.43,8074.06,2021-03
847,SP08,G1,P14,2021-03-25,9737,184,886,India,APAC,Ches Bonnell,,Hyderabad,White Choc,Other,SMALL,0.16,9595.24,2021-03
848,SP05,G6,P15,2021-03-25,3899,199,488,UK,Europe,Gigi Bohling,Delish,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,2239.8,2021-03
849,SP10,G6,P18,2021-03-26,1477,58,48,UK,Europe,Brien Boise,Jucies,Wellington,Manuka Honey Choco,Other,SMALL,4.75,1249.0,2021-03
850,SP15,G5,P10,2021-03-26,4242,324,152,Australia,APAC,Kelci Walkden,Yummies,Wellington,Spicy Special Slims,Bites,LARGE,5.79,3361.92,2021-03
851,SP25,G2,P19,2021-03-26,8946,163,895,USA,Americas,Camilla Castle,Delish,Seattle,70% Dark Bites,Bites,SMALL,4.97,4497.85,2021-03
852,SP25,G1,P09,2021-03-26,14504,150,1813,India,APAC,Camilla Castle,Delish,Seattle,Orange Choco,Bars,LARGE,7.14,1559.1800000000003,2021-03
853,SP15,G4,P18,2021-03-26,6433,130,202,New Zealand,APAC,Kelci Walkden,Yummies,Wellington,Manuka Honey Choco,Other,SMALL,4.75,5473.5,2021-03
854,SP06,G3,P11,2021-03-26,9261,143,343,Canada,Americas,Curtice Advani,Delish,Hyderabad,After Nines,Bites,LARGE,4.43,7741.51,2021-03
855,SP20,G4,P13,2021-03-26,756,71,38,New Zealand,APAC,Oby Sorrel,Jucies,Seattle,85% Dark Bars,Bars,SMALL,0.64,731.68,2021-03
856,SP03,G2,P15,2021-03-26,4018,10,447,USA,Americas,Gunar Cockshoot,Yummies,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,2498.2,2021-03
857,SP12,G5,P08,2021-03-26,168,281,9,Australia,APAC,Karlen McCaffrey,Yummies,Wellington,99% Dark & Pure,Bars,LARGE,2.47,145.77,2021-03
858,SP03,G3,P17,2021-03-26,4004,16,149,Canada,Americas,Gunar Cockshoot,Yummies,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,3923.54,2021-03
859,SP13,G5,P08,2021-03-26,6272,133,299,Australia,APAC,Jan Morforth,Delish,Wellington,99% Dark & Pure,Bars,LARGE,2.47,5533.47,2021-03
860,SP08,G1,P19,2021-03-26,5215,87,348,India,APAC,Ches Bonnell,,Hyderabad,70% Dark Bites,Bites,SMALL,4.97,3485.44,2021-03
861,SP03,G4,P10,2021-03-26,3094,21,148,New Zealand,APAC,Gunar Cockshoot,Yummies,Hyderabad,Spicy Special Slims,Bites,LARGE,5.79,2237.08,2021-03
862,SP21,G5,P08,2021-03-26,9324,171,583,Australia,APAC,Mallorie Waber,,Seattle,99% Dark & Pure,Bars,LARGE,2.47,7883.99,2021-03
863,SP23,G6,P16,2021-03-26,20447,78,758,UK,Europe,Van Tuxwell,Yummies,Seattle,Organic Choco Syrup,Other,SMALL,1.47,19332.74,2021-03
864,SP07,G1,P15,2021-03-26,14189,19,1183,India,APAC,Kaine Padly,Delish,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,10166.8,2021-03
865,SP13,G1,P20,2021-03-26,6503,231,434,India,APAC,Jan Morforth,Delish,Wellington,Smooth Sliky Salty,Bars,SMALL,2.97,5214.02,2021-03
866,SP06,G2,P12,2021-03-26,2212,24,202,USA,Americas,Curtice Advani,Delish,Hyderabad,Fruit & Nut Bars,Bars,LARGE,1.58,1892.84,2021-03
867,SP11,G4,P21,2021-03-26,2975,45,142,New Zealand,APAC,Husein Augar,Yummies,Wellington,Choco Coated Almonds,Bites,SMALL,6.17,2098.86,2021-03
868,SP14,G2,P14,2021-03-29,4788,217,342,USA,Americas,Dotty Strutley,Delish,Wellington,White Choc,Other,SMALL,0.16,4733.28,2021-03
869,SP13,G2,P14,2021-03-29,9604,201,565,USA,Americas,Jan Morforth,Delish,Wellington,White Choc,Other,SMALL,0.16,9513.6,2021-03
870,SP21,G4,P07,2021-03-29,616,181,24,New Zealand,APAC,Mallorie Waber,,Seattle,Drinking Coco,Other,LARGE,1.62,577.12,2021-03
871,SP20,G2,P02,2021-03-29,7644,4,695,USA,Americas,Oby Sorrel,Jucies,Seattle,50% Dark Bites,Bites,LARGE,2.57,5857.85,2021-03
872,SP07,G1,P02,2021-03-29,4193,153,263,India,APAC,Kaine Padly,Delish,Hyderabad,50% Dark Bites,Bites,LARGE,2.57,3517.09,2021-03
873,SP18,G5,P05,2021-03-29,6132,183,307,Australia,APAC,Madelene Upcott,Jucies,Wellington,Mint Chip Choco,Bars,LARGE,1.54,5659.22,2021-03
874,SP20,G4,P20,2021-03-29,7896,302,376,New Zealand,APAC,Oby Sorrel,Jucies,Seattle,Smooth Sliky Salty,Bars,SMALL,2.97,6779.28,2021-03
875,SP22,G4,P16,2021-03-29,2576,332,96,New Zealand,APAC,Jehu Rudeforth,,Seattle,Organic Choco Syrup,Other,SMALL,1.47,2434.88,2021-03
876,SP13,G1,P04,2021-03-29,2821,197,157,India,APAC,Jan Morforth,Delish,Wellington,Raspberry Choco,Bars,LARGE,4.09,2178.87,2021-03
877,SP07,G5,P11,2021-03-29,12103,88,485,Australia,APAC,Kaine Padly,Delish,Hyderabad,After Nines,Bites,LARGE,4.43,9954.45,2021-03
878,SP02,G3,P20,2021-03-29,5271,330,377,Canada,Americas,Dennison Crosswaite,Yummies,Hyderabad,Smooth Sliky Salty,Bars,SMALL,2.97,4151.3099999999995,2021-03
879,SP12,G2,P15,2021-03-29,5117,66,512,USA,Americas,Karlen McCaffrey,Yummies,Wellington,Baker's Choco Chips,Bars,SMALL,3.4,3376.2,2021-03
880,SP08,G6,P09,2021-03-30,4767,232,434,UK,Europe,Ches Bonnell,,Hyderabad,Orange Choco,Bars,LARGE,7.14,1668.2400000000002,2021-03
881,SP04,G1,P17,2021-03-30,20076,29,670,India,APAC,Wilone O'Kielt,Delish,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,19714.2,2021-03
882,SP25,G4,P06,2021-03-30,2583,206,185,New Zealand,APAC,Camilla Castle,Delish,Seattle,Eclairs,Bites,LARGE,2.24,2168.6,2021-03
883,SP20,G4,P09,2021-03-30,14210,39,2030,New Zealand,APAC,Oby Sorrel,Jucies,Seattle,Orange Choco,Bars,LARGE,7.14,-284.1999999999989,2021-03
884,SP01,G3,P15,2021-03-30,4403,25,315,Canada,Americas,Barr Faughny,Yummies,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,3332.0,2021-03
885,SP03,G5,P10,2021-03-30,12985,279,619,Australia,APAC,Gunar Cockshoot,Yummies,Hyderabad,Spicy Special Slims,Bites,LARGE,5.79,9400.99,2021-03
886,SP14,G3,P13,2021-03-30,1358,63,68,Canada,Americas,Dotty Strutley,Delish,Wellington,85% Dark Bars,Bars,SMALL,0.64,1314.48,2021-03
887,SP01,G1,P15,2021-03-30,203,330,19,India,APAC,Barr Faughny,Yummies,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,138.4,2021-03
888,SP06,G5,P06,2021-03-30,1281,275,99,Australia,APAC,Curtice Advani,Delish,Hyderabad,Eclairs,Bites,LARGE,2.24,1059.24,2021-03
889,SP22,G5,P16,2021-03-30,13475,119,539,Australia,APAC,Jehu Rudeforth,,Seattle,Organic Choco Syrup,Other,SMALL,1.47,12682.67,2021-03
890,SP19,G6,P14,2021-03-30,1547,200,119,UK,Europe,Beverie Moffet,Jucies,Seattle,White Choc,Other,SMALL,0.16,1527.96,2021-03
891,SP04,G1,P03,2021-03-31,6013,217,317,India,APAC,Wilone O'Kielt,Delish,Hyderabad,Almond Choco,Bars,LARGE,9.6,2969.8,2021-03
892,SP20,G5,P19,2021-03-31,10703,21,1071,Australia,APAC,Oby Sorrel,Jucies,Seattle,70% Dark Bites,Bites,SMALL,4.97,5380.13,2021-03
893,SP10,G3,P11,2021-03-31,7630,236,306,Canada,Americas,Brien Boise,Jucies,Wellington,After Nines,Bites,LARGE,4.43,6274.42,2021-03
894,SP21,G2,P06,2021-03-31,5369,251,384,USA,Americas,Mallorie Waber,,Seattle,Eclairs,Bites,LARGE,2.24,4508.84,2021-03
895,SP03,G5,P21,2021-03-31,7917,115,360,Australia,APAC,Gunar Cockshoot,Yummies,Hyderabad,Choco Coated Almonds,Bites,SMALL,6.17,5695.8,2021-03
896,SP02,G5,P06,2021-03-31,259,116,17,Australia,APAC,Dennison Crosswaite,Yummies,Hyderabad,Eclairs,Bites,LARGE,2.24,220.92,2021-03
